SURV,BASIN,SEGMENT,ZONE,DATE,TIME,STATION,SITE,LATDEC,LOEC,DEPTH,NOX-S,NOX-B,NO3_S,NO3_B,NO2-S,NO2-B,NH4-S,NH4-B,TN-S,TN-B,DIN-S,DIN-B,TON-S,TON-B,TP-S,TP-B,SRP-S,SRP-B,APA-S,APA-B,CHLA-S,CHLA-B,TOC-S,TOC-B,SiO2-S,SiO2-B,TURB-S,TURB-B,SAL-S,SAL-B,TEMP-S,TEMP-B,DO-S,DO-B,Kd,pH,TN:TP,N:P,DIN:TP,Si:DIN,%SAT-S,%SAT_B,%Io,DSIGT
40,FK,OFF,REEF,5/3/2005,9:20,270,Maryla Shoal,24.5216,-81.5643,15,0.0449,0.0649,0.0368,0.0479,0.0081,0.0171,0.0684,0.064,2.5402,2.8772,0.1133,0.1289,2.4269,2.7483,0.1286,0.151,0.0494,0.0284,0.0444,0.0433,0.18,,113.79,125.47,1.2757,0.7628,0.39,0.82,36.62,36.84,25.65,25.53,4.84,4.8,,,19.749,2.293,0.881,11.217,71.77,71.174,,0.213
41,FK,OFF,REEF,8/2/2005,9:02,270,Maryla Shoal,24.5216,-81.5643,14,0.158,0.1408,0.0876,0.0956,0.0704,0.0452,0.4995,0.3755,9.2213,9.7909,0.6575,0.5163,8.5638,9.2745,0.1394,0.1113,0.0318,0.0193,0.0556,0.0428,0.05,,88.37,86.45,0.4532,0.4488,0.15,0.12,36.14,36.15,30.02,30.01,4.6,5.13,0.1,,66.157,20.651,4.717,0.687,70.629,78.646,23.5,0.012
42,FK,OFF,REEF,12/6/2005,9:37,270,Maryla Shoal,24.5216,-81.5643,15,0.5752,0.7946,0.4676,0.6624,0.1076,0.1322,0.5211,0.7966,5.6606,7.8094,1.0963,1.5912,4.5643,6.2183,0.1271,0.1826,0.0208,0.0778,0.0589,0.1067,0.06,,187.73,204.18,1.4828,3.6985,0.31,0.9,35.34,35.15,23.98,23.29,5.15,5.29,0.15,,44.533,52.74,8.625,1.348,74.369,75.728,10.976,0.084
43,FK,OFF,REEF,2/7/2006,9:02,270,Maryla Shoal,24.5216,-81.5643,14,0.1904,0.193,0.1314,0.1303,0.059,0.0627,3.7683,2.5917,5.6929,4.0782,3.9587,2.7847,1.7342,1.2936,0.3258,0.2683,0.0377,0.0275,0.0311,0.0298,0.1,,121.86,106.96,0.5331,1.5321,0.53,0.64,36.33,36.39,22.6,22.03,4.5,3.96,0.05,,17.476,105.014,12.152,0.134,64.356,56.181,48.525,0.224
44,FK,OFF,REEF,5/4/2006,9:01,270,Maryla Shoal,24.5216,-81.5643,15,0.1097,0.0464,0.0954,0.027,0.0143,0.0195,1.7865,0.1679,3.9148,3.0401,1.8962,0.2143,2.0186,2.8258,0.3342,0.2627,0.0436,0.0385,0.1176,0.0605,0.56,,135.29,121.73,0.5746,0.5312,0.98,1.46,36.53,36.75,25.84,26.08,5.02,5.26,0.08,,11.714,43.504,5.674,0.302,74.474,78.356,29.216,0.078
45,FK,OFF,REEF,9/8/2006,9:43,270,Maryla Shoal,24.5216,-81.5643,15,0.9882,0.6875,0.8614,0.554,0.1268,0.1335,1.7507,0.7709,9.7097,8.8638,2.7389,1.4584,6.9708,7.4055,0.2691,0.2559,0.0372,0.0404,0.1567,0.1416,0.08,,127.68,128.07,3.7574,3.0944,1.6,1.75,35.81,35.83,29.46,29.47,5.12,5.47,0.14,,36.088,73.541,10.18,1.367,78.111,83.356,13.089,0.007
46,FK,OFF,REEF,12/14/2006,8:58,270,Maryla Shoal,24.5216,-81.5643,12,0.5175,0.0799,0.4684,0.0474,0.0491,0.0325,0.5044,0.2565,16.157,16.9974,1.0218,0.3364,15.1352,16.661,0.2168,0.2239,0.0142,0.0123,0.0373,0.0398,0.12,,96.69,102.03,0.0878,0.052,1.33,1.61,36.28,36.4,25.82,24.36,4.54,4.67,0.01,,74.54,71.799,4.714,0.086,67.199,68.151,93.031,0.599
47,FK,OFF,REEF,2/21/2007,9:11,270,Maryla Shoal,24.5216,-81.5643,14,0.1263,0.1774,0.0852,0.1647,0.0412,0.0127,0.2025,0.2745,5.6144,8.16,0.3288,0.4519,5.2856,7.708,0.3982,0.3399,0.0126,0.0989,,,0.25,,122.13,104.72,1.7567,1.3618,0.44,0.42,35.84,35.82,21.17,21.09,4.25,4.38,0.16,,14.101,26.053,0.826,5.323,59.43,61.202,10.6,0.005
48,FK,OFF,REEF,6/14/2007,11:18,270,Maryla Shoal,24.5216,-81.5643,15,0.2451,0.0863,0.208,0.0789,0.0372,0.0075,4.4333,2.9265,13.6129,14.7122,4.6784,3.0128,8.9345,11.6994,0.2344,0.1762,0.0374,0.0128,,,0.08,,107.37,92.33,0.0103,0.0386,0.13,0.12,36.13,36.25,28.85,27.39,2.94,3.6,0.02,,58.072,125.174,19.958,0.002,44.729,54.059,71.752,0.648
49,FK,OFF,REEF,8/23/2007,11:49,270,Maryla Shoal,24.5216,-81.5643,15,0.1439,0.1665,0.1251,0.1412,0.0187,0.0253,0.2461,0.1517,6.9253,4.8544,0.3899,0.3181,6.5354,4.5363,0.1522,0.0892,0.0368,0.0278,,,0.06,,98.09,93.83,0.273,0.2812,0.05,0.11,36.08,36.28,30.01,30.06,5.44,5.09,0.09,,45.497,10.61,2.562,0.698,83.407,78.124,27.56,0.121
50,FK,OFF,REEF,10/24/2007,14:25,270,Maryla Shoal,24.5216,-81.5643,14,0.1349,0.121,0.0971,0.0907,0.0378,0.0302,0.2217,0.2238,10.9315,11.9121,0.3565,0.3447,10.575,11.5674,0.1651,0.1716,0.0244,0.0273,,,0.25,,91.29,91.5,1.1225,0.5272,,,35.81,35.96,28.76,28.67,5.88,5.88,0.08,,66.202,14.618,2.159,3.137,89.217,89.239,31.843,0.15
51,FK,OFF,REEF,2/1/2008,13:24,270,Maryla Shoal,24.5216,-81.5643,10.13,0.0635,0.1759,0.0298,0.1388,0.0336,0.037,0.1927,0.2151,10.8413,10.1523,0.2561,0.391,10.5852,9.7613,0.7588,0.8393,0.0279,0.0376,,,0.12,,78.99,103.84,0.5603,0.5632,2.07,6.44,36.4,36.59,23.43,22.46,6.88,7,0.25,,14.288,9.167,0.338,2.18,99.449,99.989,7.645,0.457
52,FK,OFF,REEF,6/4/2008,12:52,270,Maryla Shoal,24.5216,-81.5643,10.34,0.108,0.1043,0.081,0.0501,0.027,0.0543,0.1721,0.1005,8.8618,8.3042,0.2801,0.2048,8.5817,8.0994,0.256,0.2929,0.0913,0.0597,,,0.27,,93.12,97.82,0.4994,0.5586,0.42,0.89,36.72,36.84,28.68,28.65,6.29,6.29,0.05,,34.617,3.067,1.094,1.776,95.928,95.959,57.822,0.098
53,FK,OFF,REEF,8/4/2008,11:42,270,Maryla Shoal,24.5216,-81.5643,9.82,0.0615,0.0711,0.0436,0.048,0.0179,0.0231,0.4731,0.0377,8.0715,8.7335,0.5346,0.1088,7.5368,8.6247,0.2357,0.1714,0.099,0.0266,,,0.21,,102.8,92.12,0.2421,0.1438,0.4,0.59,36.17,36.17,29.89,29.82,6.19,6.2,0.06,,34.252,5.399,2.269,0.451,94.907,94.964,54.766,0.031
54,FK,OFF,REEF,12/6/2008,16:40,270,Maryla Shoal,24.5216,-81.5643,9.62,0.0608,0.0468,0.0501,0.0235,0.0107,0.0233,0.1788,0.075,18.3679,13.1712,0.2396,0.1218,18.1283,13.0494,0.1383,0.1432,0.0443,0.0306,,,0.42,,135.31,154.43,0.0889,0.425,0.29,1.22,36.12,36.28,24.07,22.27,6.82,7.03,0.07,,132.817,5.411,1.733,0.37,99.06,100.062,50.162,0.7
55,FK,OFF,REEF,2/13/2009,11:30,270,Maryla Shoal,24.5216,-81.5643,9.47,0.1659,0.1574,0.1509,0.128,0.015,0.0293,0.0603,0.06,13.5283,13.3543,0.2262,0.2174,13.3021,13.137,0.1709,0.1742,0.0285,0.0229,,,0.56,,97.86,138.14,0.3778,0.4109,1.15,3.26,36.25,35.99,22.27,20.27,7.03,7.3,0.25,,79.177,7.944,1.324,1.664,100.057,100.967,9.073,0.405
56,FK,OFF,REEF,5/27/2009,14:10,270,Maryla Shoal,24.5216,-81.5643,10.28,0.0099,0.0384,0.0004,0.0295,0.0096,0.0089,0.1905,0.2258,8.018,7.3843,0.2005,0.2642,7.8175,7.1201,0.1262,0.121,0.0331,0.0191,,,0.25,,111.83,109.18,0.477,0.6135,0.4,0.58,36.47,36.1,28.98,28.73,6.27,6.31,0.09,,63.509,6.061,1.588,2.371,95.67,95.844,41.161,-0.172
57,FK,OFF,REEF,7/17/2009,13:50,270,Maryla Shoal,24.5216,-81.5643,9.38,0.089,0.1029,0.0704,0.0814,0.0186,0.0215,0.3395,0.2528,24.1351,23.3058,0.4285,0.3557,23.7066,22.9502,0.2229,0.1787,0.0383,0.0499,,,0.22,,137.77,130.2,0.0386,0.2322,0.7,2.05,37.3,37.24,32.27,31.49,5.93,6,0.07,,108.282,11.189,1.922,0.09,92.909,93.606,49.69,0.293
58,FK,OFF,REEF,10/14/2009,10:14,270,Maryla Shoal,24.5216,-81.5643,12,0.2176,0.1933,0.1751,0.1445,0.0424,0.0488,0.1207,0.1578,12.8951,12.6571,0.3382,0.3511,12.5569,12.306,0.1135,0.1142,0.049,0.0138,,,0.18,,104.8,106.91,0.0911,0.1468,,,,,,,,,,,113.662,6.906,2.981,0.268,,,,
59,FK,OFF,REEF,3/8/2010,10:34,270,Maryla Shoal,24.5216,-81.5643,9.16,0.1641,0.065,0.1305,0.0316,0.0336,0.0334,0.0529,0.1195,10.4583,10.8819,0.2169,0.1844,10.2414,10.6975,0.3273,0.3743,0.0402,0.0382,,,1.77,,126.36,130.26,0.0535,0.2903,0.82,1.06,36.27,36.24,19.21,18.96,7.43,7.47,0.16,,31.955,5.391,0.663,0.246,101.4,101.49,23.28,0.051
60,FK,OFF,REEF,5/7/2010,10:38,270,Maryla Shoal,24.5216,-81.5643,9.29,0.0965,0.2154,0.0724,0.187,0.0241,0.0283,0.0686,0.206,41.3342,46.4012,0.1651,0.4213,41.169,45.9798,0.1203,0.1193,0.0234,0.0138,,,0.16,,89.1,90.83,1.3621,1.8149,0.32,0.64,36.52,36.52,27.84,27.64,6.39,6.41,0.1,,343.663,7.05,1.373,8.22,96.558,96.705,40.942,0.076
61,FK,OFF,REEF,7/12/2010,11:00,270,Maryla Shoal,24.5216,-81.5643,9.59,0.149,0.136,0.1281,0.1132,0.0209,0.0229,0.0726,0.0541,46.1604,51.0649,0.2216,0.1901,45.9388,50.8748,0.1593,0.1597,0.0194,0.0481,,,0.29,,108.63,100.17,1.7712,0.6066,0.73,0.5,36.36,36.24,30.55,29.9,6.12,6.19,0.13,,289.687,11.394,1.391,7.965,94.367,94.905,27.435,0.181
62,FK,OFF,REEF,10/17/2010,11:00,270,Maryla Shoal,24.5216,-81.5643,10.17,0.1622,0.2452,0.1192,0.2147,0.043,0.0306,0.1328,0.2256,47.631,52.3346,0.295,0.4709,47.336,51.8637,0.1131,0.1343,0.0553,0.0417,,,0.17,,104.29,97.5,1.5398,1.1817,0.23,0.4,35.09,35.31,26.16,26.41,6.62,6.58,0.18,,421.163,5.33,2.609,5.201,97.654,97.499,15.725,0.07
63,FK,OFF,REEF,1/28/2011,11:35,270,Maryla Shoal,24.5216,-81.5643,12,0.3546,0.366,0.2912,0.2949,0.0634,0.0711,0.0824,0.133,12.6416,11.9205,0.437,0.499,12.2046,11.4215,0.1255,0.123,0.0463,0.038,,,0.7,,263.46,271.08,3.2253,3.2304,1.75,1.74,35.85,35.85,20.23,20.24,7.31,7.31,0.27,,100.769,9.436,3.484,7.354,100.97,100.967,3.72,0.003
64,FK,OFF,REEF,4/13/2011,10:54,270,Maryla Shoal,24.5216,-81.5643,12,0.1596,0.2022,0.1028,0.143,0.0569,0.0592,0.2613,0.1561,19.1075,22.3778,0.4209,0.3583,18.6867,22.0195,0.1157,0.1261,0.0174,0.0283,,,0.31,,80.74,82.11,0.4649,0.4811,0.9,0.9,36.17,36.18,26.61,26.59,6.53,6.53,0.09,,165.139,24.14,3.638,1.101,97.421,97.436,35.911,0.015
65,FK,OFF,REEF,7/14/2011,11:16,270,Maryla Shoal,24.5216,-81.5643,12,0.2525,0.1804,0.2063,0.1252,0.0462,0.0552,0.5472,0.4012,9.2751,8.0975,0.7997,0.5816,8.4754,7.5159,0.1001,0.1128,0.0329,0.0364,,,0.28,,110.06,108.01,1.7949,2.4852,0,0.04,36.63,36.63,30.35,30.12,6.13,6.15,0.14,,92.673,24.327,7.99,2.237,94.556,94.746,18.582,0.092
66,FK,OFF,REEF,12/9/2011,12:42,270,Maryla Shoal,24.5216,-81.5643,10.66,0.0453,0.3536,0.0281,0.3295,0.0172,0.024,0.1951,0.3143,7.0438,8.7442,0.2404,0.6679,6.8034,8.0763,0.1467,0.1495,0.0793,0.0586,,,0.27,,3.62,,0.6438,1.551,1.4,0.78,35.93,35.95,25.26,23.84,6.69,6.85,0.05,,48.001,3.03,1.638,2.669,98.314,99.179,96.387,0.499
67,FK,OFF,REEF,3/29/2012,11:17,270,Maryla Shoal,24.5216,-81.5643,10.66,0.14,0.0443,0.1173,0.0263,0.0228,0.018,0.3047,0.1505,6.1123,7.2177,0.4447,0.1948,5.6676,7.0229,0.0996,0.1093,0.03,0.0463,,,0.17,,78.77,89.13,0.0727,0.1093,0,0,36.18,36.44,24.92,24.73,6.72,6.73,0.13,,61.389,14.823,4.466,0.163,98.548,98.683,25.677,0.259
68,FK,OFF,REEF,4/25/2012,11:34,270,Maryla Shoal,24.5216,-81.5643,10.44,0.0689,0.0751,0.0555,0.0571,0.0134,0.018,0.4845,0.4029,17.8044,39.5996,0.5535,0.4779,17.2509,39.1217,0.2379,0.2095,0.0826,0.0561,,,0.37,,83.5,84.38,0.0914,1.1162,0,0.03,36.28,36.28,24.35,24.23,6.78,6.79,0,,74.852,6.705,2.327,0.165,98.907,98.979,96.416,0.042
69,FK,OFF,REEF,7/15/2012,11:47,270,Maryla Shoal,24.5216,-81.5643,10.65,0.0437,0.4193,0.0299,0.3851,0.0138,0.0342,4.0624,1.1607,9.8703,12.9031,4.1062,1.58,5.7641,11.3231,0.1615,0.288,0.032,0.2779,,,0.82,,138.88,160.33,0.063,0.087,0.85,2.6,36.14,36.15,29.69,29.58,6.21,6.22,0.29,,61.107,128.317,25.421,0.015,95.076,95.165,4.638,0.051
70,FK,OFF,REEF,11/27/2012,13:50,270,Maryla Shoal,24.5216,-81.5643,10.71,0.0492,0.1511,0.0175,0.1252,0.0317,0.0259,0.3615,0.3226,4.0973,5.1218,0.4107,0.4737,3.6866,4.6481,0.2383,0.2421,0.0067,0.0159,,,0.28,,103.5,102.21,0.0187,0.0137,0,0,36.14,36.13,26.52,25.89,6.54,6.61,0.15,,17.196,61.185,1.724,0.045,97.483,97.912,19.391,0.221
71,FK,OFF,REEF,2/7/2013,13:27,270,Maryla Shoal,24.5216,-81.5643,9.93,0.1697,0.0877,0.1357,0.0711,0.034,0.0166,0.4737,0.8185,4.5784,4.2165,0.6434,0.9062,3.935,3.3103,0.1379,0.124,0.0733,0.0688,,,0.2,,108.92,112.33,0.3971,0.4363,0,0.09,36.28,36.54,24.12,22.77,6.81,6.96,0.1,,33.193,8.773,4.665,0.615,99.04,99.822,38.138,0.635
72,FK,OFF,REEF,6/24/2013,14:41,270,Maryla Shoal,24.5216,-81.5643,10.45,0.113,0.0053,0.1061,,0.0069,0.0098,0.7316,0.8835,7.1272,6.9888,0.8446,0.8888,6.2826,6.1,0.1475,0.1506,0.0201,0.0133,,,0.13,,122.46,117.63,1.2579,0.839,0.19,0.43,35.86,35.87,29.62,29.51,6.23,6.24,0.1,,48.315,41.943,5.725,1.484,95.11,95.198,36.431,0.049
73,FK,OFF,REEF,9/12/2013,12:45,270,Maryla Shoal,24.5216,-81.5643,9.89,0.0656,0.0997,0.0549,0.0825,0.0107,0.0172,0.3949,0.1466,9.3733,9.9274,0.4605,0.2463,8.9128,9.6811,0.1266,0.117,0.0146,0.0128,,,0.18,,118.46,116.71,0.0871,0.0314,0.09,0.07,35.38,35.42,29.46,29.46,6.26,6.26,1.52,,74.066,31.539,3.638,0.188,95.207,95.209,0,0.029
74,FK,OFF,REEF,12/3/2013,14:42,270,Maryla Shoal,24.5216,-81.5643,9.89,0.1539,0.2026,0.1465,0.1798,0.0075,0.0228,0.2707,0.1916,1.5615,1.7673,0.4246,0.3941,1.1369,1.3732,0.0651,0.0742,0.0242,0.0311,,,0.09,,101.92,102.75,0.0237,0.1912,0.54,0.6,36.09,36.01,26.57,24.84,6.54,6.73,0.09,,23.975,17.55,6.519,0.056,97.448,98.583,93.644,0.554
75,FK,OFF,REEF,2/24/2014,12:32,270,Maryla Shoal,24.5216,-81.5643,9.89,0.0439,0.1183,0.0285,0.1024,0.0154,0.0159,0.414,0.6271,5.5391,6.0557,0.4579,0.7453,5.0812,5.3104,0.2913,0.2628,0.0177,0.015,,,0.27,,108.83,94.08,0.185,0.3917,0.29,0.38,36.12,36.13,26.09,25.16,6.36,6.64,0.11,,19.017,25.927,1.572,0.403,94.423,97.58,92.276,0.341
76,FK,OFF,REEF,5/23/2014,12:32,270,Maryla Shoal,24.5216,-81.5643,9.16,0.59,0.5207,0.5705,0.5005,0.0194,0.0202,0.3203,0.8976,5.6756,9.237,0.9103,1.4183,4.7653,7.8187,0.1801,0.2129,0.0442,0.0434,,,0.78,,89.58,85.58,0.062,0.0378,0.06,0.81,36.51,36.58,27.21,26.7,6.45,6.5,0.07,,31.514,20.598,5.054,0.068,97.019,97.388,53.97,0.242
77,FK,OFF,REEF,7/23/2014,14:22,270,Maryla Shoal,24.5216,-81.5643,9.57,0.1443,0.113,0.1192,0.0866,0.025,0.0265,0.8145,0.3868,8.3295,8.3295,0.9588,0.4999,7.3707,7.8296,0.3632,0.2862,0.0685,0.0187,,,0.47,,92.08,92.25,0.0621,0.0118,0.25,0.5,36.45,36.44,30.93,30.54,6.08,6.12,0.1,,22.931,13.989,2.64,0.065,94.042,94.379,37.44,0.156
78,FK,OFF,REEF,11/15/2014,15:53,270,Maryla Shoal,24.5216,-81.5643,8.69,0.1845,0.3148,0.1719,0.3011,0.0126,0.0137,0.1116,0.1032,7.2537,6.842,0.2961,0.418,6.9576,6.424,0.2034,0.17,0.0363,0.0393,,,0.59,,102.08,102.75,0.6431,0.6792,1.19,1.34,35.39,35.43,24.98,24.77,6.74,6.76,0.32,,35.66,8.151,1.456,2.164,98.453,98.586,6.479,0.101
79,FK,OFF,REEF,2/24/2015,15:57:00,270,Maryla Shoal,24.5216,-81.5643,9.26,0.0564,0.1441,0.0444,0.1256,0.012,0.0185,0.3224,0.2511,5.5899,7.7694,0.3788,0.3952,5.2111,7.3742,0.2625,0.3563,0.0128,0.0376,,,0.32,,129.42,159.58,0.2631,0.493,0.55,1.19,36.32,36.2,23.75,19.2,6.85,7.44,0.11,,21.295,29.687,1.443,0.692,99.262,101.398,34.894,1.28
80,FK,OFF,REEF,6/2/2015,12:50:00,270,Maryla Shoal,24.5216,-81.5643,10.35,0.0741,0.1455,0.0668,0.1303,0.0073,0.0152,0.1899,0.2232,4.7653,4.1678,0.264,0.3687,4.5013,3.7991,0.1774,0.1856,0.006,0.02,,,0.28,,83.16,81.98,0.6089,0.4651,0.08,0.02,36.51,36.48,28.11,28,6.36,6.37,0.04,,26.862,44,1.488,2.298,96.353,96.432,65.09,0.021
81,FK,OFF,REEF,9/17/2015,12:55:00,270,Maryla Shoal,24.5216,-81.5643,9.61,0.173,0.286,0.149,0.243,0.024,0.043,0.093,0.588,8.4272,8.4272,0.266,0.874,8.1612,7.5532,0.1299,0.1668,0.012,0.002,,,0.34,,121.5,145.25,0.3429,2.5076,0.04,0.28,34.57,35.23,30.51,30.58,6.18,6.16,0.13,,64.875,22.167,2.048,1.284,94.269,94.26,27.701,0.459
82,FK,OFF,REEF,12/10/2015,14:33:00,270,Maryla Shoal,24.5216,-81.5643,10.12,0.187,0.207,0.156,0.176,0.031,0.031,0.557,0.289,2.2381,3.2583,0.744,0.496,1.4941,2.7623,0.2101,0.2055,0.045,0.033,,,0.38,,80.78,76.1,0.5311,1.2898,0.18,0.31,35.79,35.73,26.41,25.74,6.57,6.64,0.09,,10.651,16.533,3.541,0.711,97.531,97.98,38.888,0.199
83,FK,OFF,REEF,3/15/2016,15:22:02,270,Maryla Shoal,24.5216,-81.5643,9.49,0.0575,0.063,0.049,0.053,0.0085,0.01,0.132,0.198,5.5923,5.8348,0.1895,0.261,5.4028,5.5738,0.185,0.1804,0.029,0.019,,,0.15,,86,101.92,0.0218,0.4214,0.06,0.38,36.32,36.24,26.65,24.25,6.52,6.79,0.1,,30.229,6.534,1.024,0.115,97.407,98.959,39.879,0.781
84,FK,OFF,REEF,6/13/2016,14:34:26,270,Maryla Shoal,24.5216,-81.5643,8.43,0.767,0.617,0.72,0.576,0.047,0.041,0.48,0.401,9.1491,6.6368,1.247,1.018,7.9021,5.6188,0.3354,0.3136,0.022,0.021,,,0.27,,126.67,105.08,3.3998,1.2026,0,0,36.35,36.25,30.04,28.62,6.17,6.32,0.14,,27.282,56.682,3.718,2.726,94.794,95.94,30.351,0.5
85,FK,OFF,REEF,9/28/2016, 14:05:33 ,270,Maryla Shoal,24.5216,-81.5643,9.04,0.607,0.857,0.5729,0.797,0.0341,0.06,0.2088,0.1594,14.85,14.92,0.8158,1.0164,14.0341,13.9036,0.13,0.1,0.0379,0.0004,,,0.57,,111.17,118,1.304,2.804,0.12,0.14,35.65,36.54,30.64,30.9,6.14,6.08,0.16,,114.231,21.514,6.276,1.598,94.304,94.059,23.139,0.547
86,FK,OFF,REEF,11/22/2016,13:46:53,270,Maryla Shoal,24.5216,-81.5643,10.75,0.058,0,0.0488,,0.0092,0.0082,0.4881,0.3759,5.82,10.1212,0.5461,,5.2739,,0.167,0.167,0.0057,0.0135,,,0.03,,88.42,99.92,0.883,2.323,0,0.05,36.34,36.71,26.07,24.02,6.58,6.8,0.15,,34.85,95.807,3.27,1.617,97.767,99.104,20.423,0.99
87,FK,OFF,REEF,3/3/2017, 11:00:48,270,Maryla Shoal,24.5216,-81.5643,9.49,0.1494,0.1599,0.1047,0.1168,0.0447,0.0431,0.325,0.2115,9.7778,10.3908,0.4744,0.3714,9.3034,10.0194,0.1829,0.1735,-0.0019,0.007,,,0.49,,125.42,128.25,1.952,2.101,0.31,0.45,36.38,36.39,25.15,25.16,6.68,6.68,0.19,,53.447,,2.593,4.115,98.354,98.371,12.864,0.004
88,FK,OFF,REEF,5/9/2017,13:28,270,Maryla Shoal,24.5216,-81.5643,9.49,0.0865,0.2663,0.0692,0.2339,0.0173,0.0324,0.1069,0.3665,8.1542,7.3204,0.1934,0.6328,7.9608,6.6876,0.1421,0.1414,0,0.0196,,,0.32,,83.42,78.8,0.88,0.5,0.71,9.7,36.41,36.46,27.2,26.42,6.46,6.54,0.13,,57.394,,1.361,4.55,97.019,97.579,25.262,0.324
89,FK,OFF,REEF,9/5/2017,13:59,270,Maryla Shoal,24.5216,-81.5643,9.49,0.0619,0.1171,0.0345,0.0903,0.0273,0.0268,0.3317,0.3769,6.8253,7.3308,0.3936,0.494,6.4317,6.8368,0.1509,0.1555,0.0048,0.0273,,,0.27,,111.75,108.25,0.37,0.379,0.3,0.19,35.67,35.66,30.63,30.54,6.14,6.15,0.15,,45.234,81.658,2.608,0.94,94.248,94.324,19.854,0.031
90,FK,OFF,REEF,12/14/2017,12:12,270,Maryla Shoal,24.5216,-81.5643,9.49,0.4124,0.3763,0.3045,0.3093,0.1078,0.067,0.3812,0.2096,11.8921,10.4396,,,,,0.1989,0.182,0.0455,0.0244,,,0.89,,142.33,127.42,1.486,1.361,0.27,0.51,34.83,35.71,22.91,24.23,7.01,6.82,0.22,,59.786,,,,99.616,98.931,9.024,0.229
91,FK,OFF,REEF,3/20/2018,13:32,270,Maryla Shoal,24.5216,-81.5643,9.82,,,,,0.016,0.02,0.07,0.036,7.02,7.3814,0.067,0.036,6.953,7.3454,0.195,0.222,0.023,0.004,,,0.53,,81.81,86.25,0.42,0.438,1.62,2.1,36.31,36.31,25.17,25.1,6.68,6.69,0.18,,35.952,2.909,0.343,6.253,98.396,98.445,17.191,0.026
92,FK,OFF,REEF,6/9/2018,18:05,270,Maryla Shoal,24.5216,-81.5643,9.52,,,,,0.003,0.008,0.168,0.176,11.4941,10.5693,0.168,0.176,11.3261,10.3933,0.2183,0.2199,,,,,0.47,,91.25,121.08,,,0.67,1.43,36.19,36.17,29.63,28.85,6.22,6.29,0.14,,52.578,,0.768,,95.125,95.751,26.554,0.298
93,FK,OFF,REEF,9/13/2018,11:42,270,Maryla Shoal,24.5216,-81.5643,10.54,0.175,,0.163,,0.012,0.012,0.246,0.084,10.1105,3.3482,0.421,0.084,9.6895,3.2642,0.173,0.163,0.004,,,,0.32,,108.17,95.33,0.084,0.205,0.25,0.5,35.77,35.99,29.88,29.56,6.21,6.23,0.15,,58.364,105.11,2.43,0.199,94.892,95.171,20.696,0.286
94,FK,OFF,REEF,11/29/2018,10:53,270,Maryla Shoal,24.5216,-81.5643,,0.11,,0.091,,0.019,0.013,0.105,0.096,7.2605,8.5895,0.215,0.096,7.0455,8.4935,0.153,0.145,0.002,0.001,,,0.59,,84.67,92.25,0.515,0.843,0.31,0.78,37.21,,,,,,,,47.392,107.357,1.403,2.389,,,,
95,FK,OFF,REEF,2/29/2019,0.4625,270,Maryla Shoal,24.5216,-81.5643,9.81,0.281,0.1807,0.272,0.1727,0.009,0.008,,,8.3538,7.2461,,,,,0.168,0.165,0.007,0.005,,,0.44,,83.75,84.5,0.223,0.145,0.53,0.35,36.2,36.16,26.03,25.92,6.59,6.61,0.13,,49.659,,,,97.824,97.893,26.733,0.01
96,FK,OFF,REEF,5/29/2019,0.459027778,270,Maryla Shoal,24.5216,-81.5643,9.89,0.011,0.004,0.006,0.006,0.005,,0.136,0.155,13.2711,13.2428,0.147,0.159,13.1241,13.0838,0.202,0.202,0.009,0.014,,,0.22,,159.83,154.08,1.742,1.721,0.98,1.54,36.78,36.79,27.9,27.85,6.37,6.38,0.29,,65.611,16.312,0.727,11.82,96.533,96.57,5.651,0.025
97,FK,OFF,REEF,9/26/2019,0.532638889,270,Maryla Shoal,24.5216,-81.5643,10.46,0.334,,,,,,0.052,0.054,9.2857,7.1429,0.386,,8.8997,,0.2013,0.1981,,,,,0.54,,94.25,93.92,0.638,0.602,0.69,0.45,35.75,35.77,28.7,28.59,6.32,6.34,0.19,,46.057,,1.915,1.649,95.837,95.926,13.623,0.056
98,FK,OFF,REEF,1/29/2020,0.383333333,270,Maryla Shoal,24.5216,-81.5643,9.49,,,,,0.019,0.005,0.127,0.006,4.7619,5.4762,,,,,0.2059,0.2084,0.004,,,,0.25,,87.17,90,0.091,0.237,0,0.05,36.37,36.48,24.42,22.44,6.77,7,,,23.092,,,,98.868,99.987,,0.726
10,FK,OFF,REEF,10/29/1997,,273,Eastern Sambo Offshore,24.4929,-81.6571,9.5,0.2001,0.4402,0.1851,0.4102,0.015,0.03,0.1476,0.2826,4.9523,5.5086,0.3477,0.7228,4.6046,4.7858,0.2323,0.2073,0.0075,0.005,0.0325,0.0341,0.12,,117.6,105.11,0.1003,0.2382,0.06,0.09,35.9,36,26.9,27,5.9,5.9,0.09,,21.318,46.395,1.497,0.287,88.113,88.25,42.375,0.037
